Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,0.156154305334649,0.143021834515728,0.0377966098965687,0,0,0,15.865948579379,0.425791793185375,-2.43074304666147E-19,8.80120171756422E-19,0.227325591684544,-1.03608947117561E-16,0.425791793185375,0,0,0,0,0,0,package://LAMP2URDF/meshes/Base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LAMP2URDF/meshes/Base.STL,,Base-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.624338397409122,-0.0571626484779096,0.0377951912740255,0,0,0,7.06121044359283,0.114598672993301,0.169939794428495,-7.77193837708677E-07,0.812773240653465,-2.71690833847565E-07,0.9034510107497,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link1.STL,,Link1-1,Coordinate System2,Axis1,Link1,revolute,0,0,0,0,0,0,Base,0,1,0,10,10,0,0,,,0.1,0.1,,,,
Link2,1.01975442465752,-0.49670992636057,0.0381208275285947,0,0,0,1.13069874193925,0.00458437296389065,5.32717473915938E-09,3.59275244223341E-09,0.00363844507063892,1.99528034001558E-05,0.00545761363628714,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link2.STL,,Link2-1,Coordinate System2,Axis2,Link2,revolute,0,0,0,0,0,0,Base,0,-1,0,10,10,0,0,,,0.1,0.1,,,,
Link3,1.01411092169099,-0.503976499916222,-0.0890999138002946,0,0,0,1.2443873743999,0.00396574277432573,5.8177335796947E-09,3.60994867141268E-05,0.00491145970466877,5.39750857835347E-09,0.00574312393918555,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link3.STL,,Link3-1,Coordinate System2,Axis3,Link3,revolute,0,0,0,0,0,0,Base,0,0,1,10,10,0,0,,,0.1,0.1,,,,
Link4,0.511754305334647,-0.503976330156753,-0.0892033901034228,0,0,0,4.09760403890471,0.00720650890476304,-1.94838850227079E-34,8.2378044393481E-16,0.24441466048146,3.67653427438345E-35,0.24441466048146,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link4.STL,,Link4-1,Coordinate System2,Axis3,Link4,revolute,0,0,0,0,0,0,Base,0,0,1,10,10,0,0,,,0.1,0.1,,,,
Link5,0.0824669966713169,-0.503976328534475,-0.0851379243188525,0,0,0,0.283181051897044,0.000568886076164115,-1.64530557739773E-11,2.22006843974026E-05,0.000507831779081121,-3.26763363147008E-11,0.000442919551088538,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link5.STL,,Link5-1,Coordinate System2,Axis5,Link5,revolute,0,0,0,0,0,0,Base,-1,0,0,10,10,0,0,,,0.1,0.1,,,,
Link6,-0.0276188536498135,-0.503976330156753,0.142186450912115,0,0,0,0.467880622236969,0.00309574826083503,-1.61350069239321E-19,0.00273231903124135,0.00610919382537965,-1.90750038801999E-20,0.00309574826083491,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link6.STL,,Link6-1,Coordinate System2,Axis5,Link6,revolute,0,0,0,0,0,0,Base,-1,0,0,10,10,0,0,,,0.1,0.1,,,,
Link7,-0.300392308386059,-0.503976329371158,0.228847533076155,0,0,0,1.16594380268497,0.003018457640304,4.43193966411008E-10,-1.1617058957329E-05,0.0032146719752099,5.55606583079323E-11,0.00561915891659142,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link7.STL,,Link7-1,Coordinate System2,Axis5,Link7,revolute,0,0,0,0,0,0,Base,-1,0,0,10,10,0,0,,,0.1,0.1,,,,
Link8,-0.302353618923105,-0.508566353032003,-0.0740919353591706,0,0,0,44.0763599099016,1.05650802266628,0.000631680337093645,-1.22639044071868E-05,2.01557823587788,-0.000423792271000541,1.14003599438044,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LAMP2URDF/meshes/Link8.STL,,Link8-1,Coordinate System2,Axis4,Link8,revolute,0,0,0,0,0,0,Base,0,0,-1,10,10,0,0,,,0.1,0.1,,,,
